Importation successful, starting dezipping
Dezipping successful, starting initialization
Initialization successful, starting training
Epoch 82/100 | Train Loss: 0.4323 | Val Loss: 4.3756 | ADE: 1.9206 | FDE: 5.0102 | Best ADE: 1.8943
Epoch 83/100 | Train Loss: 0.4319 | Val Loss: 4.3542 | ADE: 1.9165 | FDE: 4.9927 | Best ADE: 1.8943
Epoch 84/100 | Train Loss: 0.4389 | Val Loss: 4.3915 | ADE: 1.9247 | FDE: 4.9964 | Best ADE: 1.8943
Epoch 85/100 | Train Loss: 0.4267 | Val Loss: 4.3662 | ADE: 1.9216 | FDE: 4.9966 | Best ADE: 1.8943
Epoch 86/100 | Train Loss: 0.4383 | Val Loss: 4.3440 | ADE: 1.9217 | FDE: 4.9981 | Best ADE: 1.8943
Epoch 87/100 | Train Loss: 0.4273 | Val Loss: 4.3858 | ADE: 1.9275 | FDE: 5.0049 | Best ADE: 1.8943
Epoch 88/100 | Train Loss: 0.4284 | Val Loss: 4.3110 | ADE: 1.9114 | FDE: 4.9701 | Best ADE: 1.8943
Epoch 89/100 | Train Loss: 0.4246 | Val Loss: 4.3433 | ADE: 1.9196 | FDE: 4.9928 | Best ADE: 1.8943
Epoch 90/100 | Train Loss: 0.4449 | Val Loss: 4.3792 | ADE: 1.9285 | FDE: 5.0203 | Best ADE: 1.8943
Epoch 91/100 | Train Loss: 0.4286 | Val Loss: 4.3838 | ADE: 1.9325 | FDE: 5.0150 | Best ADE: 1.8943
Epoch 92/100 | Train Loss: 0.4264 | Val Loss: 4.3876 | ADE: 1.9323 | FDE: 5.0068 | Best ADE: 1.8943
Epoch 93/100 | Train Loss: 0.4281 | Val Loss: 4.4024 | ADE: 1.9389 | FDE: 5.0201 | Best ADE: 1.8943
Epoch 94/100 | Train Loss: 0.4278 | Val Loss: 4.3594 | ADE: 1.9251 | FDE: 5.0140 | Best ADE: 1.8943
Epoch 95/100 | Train Loss: 0.4273 | Val Loss: 4.3722 | ADE: 1.9268 | FDE: 5.0109 | Best ADE: 1.8943
Epoch 96/100 | Train Loss: 0.4336 | Val Loss: 4.3618 | ADE: 1.9260 | FDE: 5.0134 | Best ADE: 1.8943
Epoch 97/100 | Train Loss: 0.4251 | Val Loss: 4.3491 | ADE: 1.9228 | FDE: 4.9943 | Best ADE: 1.8943
Epoch 98/100 | Train Loss: 0.4249 | Val Loss: 4.3668 | ADE: 1.9266 | FDE: 5.0046 | Best ADE: 1.8943
Epoch 99/100 | Train Loss: 0.4441 | Val Loss: 4.4234 | ADE: 1.9379 | FDE: 5.0300 | Best ADE: 1.8943
Epoch 100/100 | Train Loss: 0.4233 | Val Loss: 4.3531 | ADE: 1.9208 | FDE: 5.0045 | Best ADE: 1.8943
Training finished;
- Initial parameters: d_camera=1024,d_latent=256, aux_loss; no, epochs=100, lr=step(1e-4,40,0.1)
- Final results: best_ADE=1.894280068576336
Model successfully saved
